message_type,name,value,length,offset,notes
S,stock_locate,integer,2,1,Always 0
S,tracking_number,integer,2,3,Nasdaq internal tracking number
S,timestamp,integer,6,5,Nanoseconds since midnight
S,event_code,alpha,1,11,See System Event Codes below
R,stock_locate,integer,2,1,Locate Code uniquely assigned to the security symbol for the day.
R,tracking_number,integer,2,3,Nasdaq internal tracking number
R,timestamp,integer,6,5,Time at which the directory message was generated. Refer to Data Types for field processing notes.
R,stock,alpha,8,11,Denotes the security symbol for the issue in the Nasdaq execution system.
R,market_category,alpha,1,19,Indicates Listing market or listing market tier for the issue
R,financial_status_indicator,alpha,1,20,"For Nasdaq listed issues, this field indicates when a firm is not in compliance with Nasdaq continued listing requirements"
R,round_lot_size,integer,4,21,Denotes the number of shares that represent a round lot for the issue
R,round_lots_only,alpha,1,25,Indicates if Nasdaq system limits order entry for issue
R,issue_classification,alpha,1,26,Identifies the security class for the issue as assigned by Nasdaq. See Appendix for allowable values
R,issue_sub_type,alpha,2,27,Identifies the security sub-type for the issue as assigned by Nasdaq. See Appendix for allowable values
R,authenticity,alpha,1,29,"Denotes if an issue or quoting participant record is set-up in Nasdaq systems in a live/production, test, or demo state. Please note that firms should only show live issues and quoting participants on public quotation displays."
R,short_sale_threshold_indicator,alpha,1,30,Indicates if a security is subject to mandatory close-out of short sales under SEC Rule 203(b)(3).
R,ipo_flag,alpha,1,31,Indicates if the Nasdaq security is set up for IPO Indicates if the Nasdaq security is set up for IPO release. This field is intended to help Nasdaq market participant firms comply with FINRA Rule 5131(b).
R,luld_reference_price_tier,alpha,1,32,Indicates which Limit Up / Limit Down price band calculation parameter is to be used for the instrument.
R,etp_flag,alpha,1,33,Indicates whether the security is an exchange traded product (ETP)
R,etp_leverage_factor,integer,4,34,Tracks the integral relationship of the ETP to the underlying index
R,inverse_indicator,alpha,1,38,Indicates the directional relationship between the ETP and Underlying Index
H,stock_locate,integer,2,1,Locate code identifying the security
H,tracking_number,integer,2,3,Nasdaq internal tracking number
H,timestamp,integer,6,5,Nanoseconds since midnight
H,stock,alpha,8,11,"Stock symbol, right padded with spaces"
H,trading_state,alpha,1,19,"Indicates the current trading state for the stock. Allowable values: 
H = Halted across all U.S. equity markets / SROs 
P = Paused across all U.S. equity markets / SROs (Nasdaq-listed securities only) 
Q = Quotation only period for cross-SRO halt or pause
T = Trading on Nasdaq"
H,reserved,alpha,1,20,Reserved.
H,reason,alpha,4,21,Trading Action reason.
Y,stock_locate,integer,2,1,Locate code identifying the security
Y,tracking_number,integer,2,3,Nasdaq internal tracking number
Y,timestamp,integer,6,5,Nanoseconds since midnight
Y,stock,alpha,8,11,"Stock symbol, right padded with spaces"
Y,reg_sho_action,alpha,1,19,"Denotes the Reg SHO Short Sale Price Test Restriction status for the issue at the time of the message dissemination. 
Allowable values are:
0 = No price test in place     
1 = Reg SHO Short Sale Price Test Restriction in effect due to an intra-day price drop in security     
2 = Reg SHO Short Sale Price Test Restriction remains in effect"
L,stock_locate,integer,2,1,Locate code identifying the security
L,tracking_number,integer,2,3,Nasdaq internal tracking number
L,timestamp,integer,6,5,Nanoseconds since midnight
L,mpid,alpha,4,11,Denotes the market participant identifier for which the position message is being generated
L,stock,alpha,8,15,"Stock symbol, right padded with spaces"
L,primary_market_maker,alpha,1,23,"Indicates if the market participant firm qualifies as a Primary Market Maker in accordance with Nasdaq marketplace rules 
Y = primary market maker   
N = non-primary market maker"
L,market_maker_mode,alpha,1,24,"Indicates the quoting participant's registration status in relation to SEC Rules 101 and 104 of Regulation M
N = normal
P = passive
S = syndicate
R = pre-syndicate
L = penalty"
L,market_participant_state,alpha,1,25,"Indicates the market participant's current registration status in the issue
A = Active
E = Excused/Withdrawn
W = Withdrawn
S = Suspended
D = Deleted"
V,stock_locate,integer,2,1,Always set to 0
V,tracking_number,integer,2,3,Nasdaq internal tracking number
V,timestamp,integer,6,5,Time at which the MWCB Decline Level message was generated
V,level_1,price_8,8,11,Denotes the MWCB Level 1 Value.
V,level_2,price_8,8,19,Denotes the MWCB Level 2 Value.
V,level_3,price_8,8,27,Denotes the MWCB Level 3 Value.
W,stock_locate,integer,2,1,Always set to 0
W,tracking_number,integer,2,3,Nasdaq internal tracking number
W,timestamp,integer,6,5,Time at which the MWCB Breaker Status message was generated
W,breached_level,alpha,1,11,Denotes the MWCB Level that was breached. 1 = Level 1 2 = Level 2 3 = Level 3
K,stock_locate,integer,2,1,Always set to 0
K,tracking_number,integer,2,3,Nasdaq internal tracking number
K,timestamp,integer,6,5,Time at which the IPO Quoting Period Update message was generated
K,stock,alpha,8,11,"Stock symbol, right padded with spaces"
K,ipo_quotation_release_time,integer,4,19,"Denotes the IPO release time, in seconds since midnight, for quotation to the nearest second. 
NOTE: If the quotation period is being canceled/postponed, we should state that: 
1. IPO Quotation Time will be set to 0 
2. 2. IPO Price will be set to 0"
K,ipo_quotation_release_qualifier,alpha,1,23,"A = Anticipated Quotation Release Time: 
This value would be used when Nasdaq Market Operations initially enters the IPO instrument for release 
C = IPO Release Canceled/Postponed: 
This value would be sued when Nasdaq Market Operations cancels or postpones the release of the new IPO instrument"
K,ipo_price,price_4,4,24,"Denotes the IPO Price to be used for intraday net change calculations 
Prices are given in decimal format with 6 whole number places followed by 4 decimal digits. The whole number portion is padded on the left with spaces; the decimal portion is padded on the right with zeroes. The decimal point is implied by position, it does not appear inside the price field"
J,stock_locate,integer,2,1,Locate code identifying the security
J,tracking_number,integer,2,3,Nasdaq internal tracking number
J,timestamp,integer,6,5,Nanoseconds past midnight
J,stock,alpha,8,11,"Stock symbol, right padded with spaces"
J,auction_collar_reference_price,price_4,4,19,Reference price used to set the Auction Collars
J,upper_auction_collar_price,price_4,4,23,Indicates the price of the Upper Auction Collar Threshold
J,lower_auction_collar_price,price_4,4,27,Indicates the price of the Lower Auction Collar Threshold
J,auction_collar_extension,integer,4,31,Indicates the number of the extensions to the Reopening Auction
h,stock_locate,integer,2,1,Locate code uniquely assigned to the security symbol for the day.
h,tracking_number,integer,2,3,Nasdaq internal tracking number
h,timestamp,integer,6,5,Time at which the Operational Halt message was generated. Refer to Data Types for field processing notes.
h,stock,alpha,8,11,Denotes the security symbol for the issue in Nasdaq execution system
h,market_code,alpha,1,19,"Q: Nasdaq
B: BX
X: PS"
h,operational_halt_action,alpha,1,20,"H: Operationally Halted on the identified Market
T: Operational Halt has been lifted and Trading resumed"
A,stock_locate,integer,2,1,Locate code identifying the security
A,tracking_number,integer,2,3,Nasdaq internal tracking number
A,timestamp,integer,6,5,Nanoseconds since midnight.
A,order_reference_number,integer,8,11,The unique reference number assigned to the new order at the time of receipt.
A,buy_sell_indicator,alpha,1,19,The type of order being added. B = Buy Order. S = Sell Order.
A,shares,integer,4,20,The total number of shares associated with the order being added to the book.
A,stock,alpha,8,24,"Stock symbol, right padded with spaces"
A,price,price_4,4,32,The display price of the new order. Refer to Data Types for field processing notes.
F,stock_locate,integer,2,1,Locate code identifying the security
F,tracking_number,integer,2,3,Nasdaq internal tracking number
F,timestamp,integer,6,5,Nanoseconds since midnight.
F,order_reference_number,integer,8,11,The unique reference number assigned to the new order at the time of receipt.
F,buy_sell_indicator,alpha,1,19,The type of order being added. B = Buy Order. S = Sell Order.
F,shares,integer,4,20,The total number of shares associated with the order being added to the book
F,stock,alpha,8,24,"Stock symbol, right padded with spaces"
F,price,price_4,4,32,The display price of the new order. Refer to Data Types for field processing notes.
F,attribution,alpha,4,36,Nasdaq Market participant identifier associated with the entered order
E,stock_locate,integer,2,1,Locate code identifying the security
E,tracking_number,integer,2,3,Nasdaq internal tracking number
E,timestamp,integer,6,5,Nanoseconds since midnight
E,order_reference_number,integer,8,11,The unique reference number assigned to the new order at the time of receipt
E,executed_shares,integer,4,19,The number of shares executed
E,match_number,integer,8,23,The Nasdaq generated day unique Match Number of this execution. The Match Number is also referenced in the Trade Break Message
C,stock_locate,integer,2,1,Locate code identifying the security
C,tracking_number,integer,2,3,Nasdaq internal tracking number
C,timestamp,integer,6,5,Nanoseconds since midnight
C,order_reference_number,integer,8,11,The unique reference number assigned to the new order at the time of receipt
C,executed_shares,integer,4,19,The number of shares executed
C,match_number,integer,8,23,The Nasdaq generated day unique Match Number of this execution. The Match Number is also referenced in the Trade Break Message
C,printable,alpha,1,31,"Indicates if the execution should be reflected on time and sales displays and volume calculations. 
N = Non-Printable, 
Y = Printable"
