iter	AUC	Logloss
0	0.6957475543	0.6922363336
1	0.7030392587	0.6913546273
2	0.7099865675	0.690467284
3	0.7165721059	0.6895598984
4	0.7186276913	0.6887257926
5	0.7196778655	0.6878696089
6	0.7211523354	0.6870528836
7	0.7200607955	0.6862164291
8	0.7203286588	0.6854129348
9	0.7209668458	0.6845934693
10	0.7214894891	0.6838006226
11	0.7216729224	0.6830009645
12	0.7212977707	0.682224637
13	0.7232878208	0.6814332778
14	0.7237297893	0.6806452067
15	0.7245061696	0.6798405381
16	0.7255741358	0.6790627231
17	0.7257653773	0.6783235053
18	0.7259709537	0.6775653412
19	0.7259275913	0.6768462439
20	0.7257960737	0.6760867489
21	0.7254146039	0.675396854
22	0.7255384922	0.6747146315
23	0.7259325087	0.674023484
24	0.7256982625	0.6733507347
25	0.7268238068	0.6726221643
26	0.7267841101	0.6720180757
27	0.7264496982	0.6713456395
28	0.7264367342	0.6706761784
29	0.7261566222	0.6700380335
30	0.726695776	0.6694036465
31	0.7270182967	0.6687870314
32	0.7271422744	0.6682001666
33	0.7274084389	0.667580733
34	0.7276724577	0.666955506
35	0.7276253402	0.6663651965
