iter	Passed	Remaining
0	109	54770
1	218	54379
2	327	54224
3	434	53888
4	544	53874
5	652	53761
6	762	53698
7	879	54064
8	989	53957
9	1098	53808
10	1205	53598
11	1314	53456
12	1422	53303
13	1533	53227
14	1640	53056
15	1749	52916
16	1861	52896
17	1970	52759
18	2078	52621
19	2186	52474
20	2294	52340
21	2402	52199
22	2527	52424
23	2635	52267
24	2743	52127
25	2851	51983
26	2959	51853
27	3078	51893
28	3186	51757
29	3295	51624
30	3403	51490
31	3512	51363
32	3661	51812
33	3770	51672
34	3878	51534
35	3987	51388
